序号,日期,游戏ID,游戏名称,包月产品名称,包月金额,渠道ID,渠道名称,首订用户数,续订用户数,退订用户数,出账用户数,出账金额
53,20200403,93578,消灭星星全新版,星星豪华大礼包,10,80011045,搜狗,0,1,0,0,0.0
54,20200403,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,21,0,14,140.0
55,20200404,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,2,0,3,30.0
56,20200404,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,6,0,13,130.0
57,20200404,93578,消灭星星全新版,星星豪华大礼包,10,80010281,金立游戏大厅,0,0,0,1,10.0
58,20200404,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,0,0,2,20.0
59,20200404,93578,消灭星星全新版,星星豪华大礼包,10,83010020,金立游戏大厅,0,0,1,1,10.0
60,20200404,,,星星豪华大礼包,10,,,0,0,0,2,20.0
61,20200404,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,22,0,16,160.0
62,20200404,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
63,20200404,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,0,0,1,10.0
64,20200404,93578,消灭星星全新版,星星豪华大礼包,10,80001005,安智市场,0,1,0,1,10.0
65,20200404,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,1,0,2,20.0
66,20200404,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,14,1,10,100.0
67,20200405,93578,消灭星星全新版,星星豪华大礼包,10,80010281,金立游戏大厅,0,1,0,0,0.0
68,20200405,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,3,0,0,0.0
69,20200405,93578,消灭星星全新版,星星豪华大礼包,10,80001005,安智市场,0,1,0,0,0.0
70,20200405,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,10,1,3,30.0
71,20200405,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
72,20200405,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,16,0,2,20.0
73,20200405,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,2,0,0,0.0
74,20200405,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,13,1,2,20.0
75,20200405,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,1,0,0,0.0
76,20200405,,,星星豪华大礼包,10,,,0,0,0,2,20.0
77,20200405,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,2,0,0,0.0
78,20200405,93578,消灭星星全新版,星星豪华大礼包,10,80010226,腾讯QQ浏览器,0,0,0,1,10.0
79,20200406,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,3,0,2,20.0
80,20200406,93578,消灭星星全新版,星星豪华大礼包,10,80010226,腾讯QQ浏览器,0,1,0,0,0.0
81,20200406,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
82,20200406,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,2,0,2,20.0
83,20200406,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,2,0,3,30.0
84,20200406,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,0,0,1,10.0
85,20200407,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,2,0,1,10.0
86,20200407,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,1,0,0,0.0
87,20200407,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,1,0,1,10.0
88,20200407,93578,消灭星星全新版,星星豪华大礼包,10,80011045,搜狗,0,0,0,1,10.0
89,20200407,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,0,0,1,10.0
90,20200407,93578,消灭星星全新版,星星豪华大礼包,10,80010226,腾讯QQ浏览器,0,0,0,1,10.0
91,20200407,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,3,0,1,10.0
92,20200408,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,3,30.0
93,20200408,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,1,0,4,40.0
94,20200408,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,1,0,1,10.0
95,20200408,93578,消灭星星全新版,星星豪华大礼包,10,80011045,搜狗,0,1,0,0,0.0
96,20200408,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
97,20200408,93578,消灭星星全新版,星星豪华大礼包,10,80010226,腾讯QQ浏览器,0,1,0,0,0.0
98,20200408,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,1,2,0,0.0
99,20200408,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,0,0,1,10.0
100,20200409,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,1,0,0,0.0
101,20200409,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,0,0,1,10.0
102,20200409,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,1,0,0,0.0
103,20200409,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,0,0,2,20.0
104,20200409,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,0,0,1,10.0
105,20200409,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,3,0,7,70.0
106,20200409,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,4,0,7,70.0
107,20200410,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,1,0,0,0.0
108,20200410,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,2,0,6,60.0
109,20200410,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,0,0,1,10.0
110,20200410,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,7,0,30,300.0
111,20200410,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,0,0,1,10.0
112,20200410,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,7,0,6,60.0
113,20200410,93578,消灭星星全新版,星星豪华大礼包,10,80010226,腾讯QQ浏览器,0,0,0,1,10.0
114,20200410,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,1,0,1,10.0
115,20200410,93578,消灭星星全新版,星星豪华大礼包,10,80011045,搜狗,0,0,0,1,10.0
116,20200410,,,星星豪华大礼包,10,,,0,0,0,1,10.0
117,20200410,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,0,0,1,10.0
118,20200410,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
119,20200410,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,0,0,1,10.0
120,20200410,93578,消灭星星全新版,星星豪华大礼包,10,83010042,2345手机助手,0,0,0,1,10.0
121,20200411,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,1,0,0,0.0
122,20200411,93578,消灭星星全新版,星星豪华大礼包,10,83010042,2345手机助手,0,1,0,0,0.0
123,20200411,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,5,0,1,10.0
124,20200411,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,6,1,2,20.0
125,20200411,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,1,0,0,0.0
126,20200411,93578,消灭星星全新版,星星豪华大礼包,10,80011045,搜狗,0,1,0,0,0.0
127,20200411,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
128,20200411,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,1,0,2,20.0
129,20200411,93578,消灭星星全新版,星星豪华大礼包,10,80010226,腾讯QQ浏览器,0,1,0,0,0.0
130,20200411,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,30,0,3,30.0
131,20200411,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,1,0,0,0.0
132,20200411,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,1,0,1,10.0
133,20200412,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
134,20200412,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,0,0,1,10.0
