序号,日期,渠道名称,渠道CODE,游戏名称,游戏ID,游戏收入,运营商来源,下载用户数（本平台）,启动用户数,付费用户数,付费启动转化率,ARPU,ARPPU
1,20200401,聚沙渠道,,PopStar!消灭星星2,10001847,0.00,移动,0,2,0,0.00%,0.00,0.00
2,20200401,聚沙渠道,,PopStar!消灭星星2,10001847,0.00,联通,0,1,0,0.00%,0.00,0.00
3,20200401,聚沙渠道,,消灭星星全新版,12912,0.00,电信,0,13,0,0.00%,0.00,0.00
4,20200401,聚沙渠道,,消灭星星全新版,12912,0.00,移动,0,10,0,0.00%,0.00,0.00
5,20200401,聚沙渠道,,消灭星星全新版,12912,0.00,联通,0,2,0,0.00%,0.00,0.00
6,20200401,聚沙渠道,,消灭星星中文版,5015173,0.00,电信,0,8,0,0.00%,0.00,0.00
7,20200401,聚沙渠道,,消灭星星中文版,5015173,0.00,移动,0,51,0,0.00%,0.00,0.00
8,20200401,聚沙渠道,,僵尸尖叫,5022331,0.00,电信,0,2,0,0.00%,0.00,0.00
9,20200401,聚沙渠道,,僵尸尖叫,5022331,0.00,移动,0,4,0,0.00%,0.00,0.00
10,20200401,聚沙渠道,,僵尸尖叫,5022331,0.00,联通,0,2,0,0.00%,0.00,0.00
11,20200401,聚沙渠道,,PopStar消灭星星2社交版,5024369,0.00,联通,0,1,0,0.00%,0.00,0.00
12,20200401,聚沙渠道,,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
13,20200401,聚沙渠道,,哔哔弹,5097519,0.00,移动,0,2,0,0.00%,0.00,0.00
14,20200401,爱游戏客户端,10000000,消灭星星全新版,10000895,0.00,电信,0,11086,0,0.00%,0.00,0.00
15,20200401,爱游戏客户端,10000000,PopStar!消灭星星2,10001847,0.00,电信,0,1,0,0.00%,0.00,0.00
16,20200401,爱游戏客户端,10000000,PopStar!消灭星星2,10001847,0.00,移动,0,2,0,0.00%,0.00,0.00
17,20200401,爱游戏客户端,10000000,PopStar!消灭星星2,10001847,0.00,联通,0,1,0,0.00%,0.00,0.00
18,20200401,爱游戏客户端,10000000,消灭星星全新版,12912,0.00,电信,0,60,0,0.00%,0.00,0.00
19,20200401,爱游戏客户端,10000000,消灭星星全新版,12912,0.00,移动,0,74,0,0.00%,0.00,0.00
20,20200401,爱游戏客户端,10000000,消灭星星全新版,12912,0.00,联通,0,16,0,0.00%,0.00,0.00
21,20200401,爱游戏客户端,10000000,消灭星星中文版,5015173,0.00,移动,0,1,0,0.00%,0.00,0.00
22,20200401,爱游戏客户端,10000000,僵尸尖叫,5022331,0.00,电信,0,2,0,0.00%,0.00,0.00
23,20200401,爱游戏客户端,10000000,PopStar消灭星星2社交版,5024369,0.00,移动,0,2,0,0.00%,0.00,0.00
24,20200401,爱游戏客户端,10000000,PopStar消灭星星2社交版,5024639,0.00,电信,0,2,0,0.00%,0.00,0.00
25,20200401,爱游戏客户端,10000000,点我+1,5054861,0.00,电信,0,1,0,0.00%,0.00,0.00
26,20200401,爱游戏客户端,10000000,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
27,20200401,爱游戏客户端,10000000,哔哔弹,5097519,0.00,移动,0,1,0,0.00%,0.00,0.00
28,20200401,爱游戏客户端,10000000,哔哔弹,5097519,0.00,联通,0,1,0,0.00%,0.00,0.00
29,20200401,爱游戏客户端,10000000,长腿爸爸,5102711,0.00,电信,0,1,0,0.00%,0.00,0.00
30,20200401,华为智汇云,80001002,消灭星星全新版,10000895,0.00,电信,0,40,0,0.00%,0.00,0.00
31,20200401,华为智汇云,80001002,消灭星星中文版,5013515,0.00,电信,0,1,0,0.00%,0.00,0.00
32,20200401,华为智汇云,80001002,消灭星星中文版,5015173,0.00,电信,0,12,0,0.00%,0.00,0.00
33,20200401,安智市场,80001005,消灭星星全新版,10000895,0.00,电信,0,86,0,0.00%,0.00,0.00
34,20200401,豌豆荚,80001013,消灭星星全新版,10000895,0.00,电信,0,54,0,0.00%,0.00,0.00
35,20200401,豌豆荚,80001013,僵尸尖叫,5022331,0.00,电信,0,12,0,0.00%,0.00,0.00
36,20200401,搜狐应用中心,80001016,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
37,20200401,酷派应用商店,80001017,消灭星星全新版,10000895,30.00,电信,0,30,1,3.33%,1.00,30.00
38,20200401,悠悠村,80001018,消灭星星全新版,10000895,0.00,电信,0,2,0,0.00%,0.00,0.00
39,20200401,应用汇,80001020,消灭星星全新版,10000895,0.00,电信,0,14,0,0.00%,0.00,0.00
40,20200401,应用汇,80001020,僵尸尖叫,5022331,0.00,电信,0,3,0,0.00%,0.00,0.00
41,20200401,小米,80001021,消灭星星全新版,10000895,159.00,电信,0,6739,5,0.07%,0.02,31.80
42,20200401,小米,80001021,PopStar!消灭星星2,5003053,0.00,电信,0,2,0,0.00%,0.00,0.00
43,20200401,小米,80001021,僵尸尖叫,5022331,0.00,电信,0,19,0,0.00%,0.00,0.00
44,20200401,小米,80001021,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
45,20200401,联想应用商店,80001024,消灭星星全新版,10000895,0.00,电信,0,133,0,0.00%,0.00,0.00
46,20200401,联想应用商店,80001024,消灭星星中文版,5015173,0.00,电信,0,2,0,0.00%,0.00,0.00
47,20200401,联想应用商店,80001024,僵尸尖叫,5022331,0.00,电信,0,1,0,0.00%,0.00,0.00
48,20200401,联想应用商店,80001024,点我+1,5054861,0.00,电信,0,1,0,0.00%,0.00,0.00
49,20200401,聚乐,80001026,僵尸尖叫,5022331,0.00,电信,0,1,0,0.00%,0.00,0.00
50,20200401,拇指玩,80010079,点我+1,5054861,0.00,电信,0,1,0,0.00%,0.00,0.00
51,20200401,拇指玩,80010079,哔哔弹,5097519,0.00,电信,0,2,0,0.00%,0.00,0.00
52,20200401,百度手机助手,80010082,PopStar！消灭星星（多酷版）,10001262,0.00,电信,0,1,0,0.00%,0.00,0.00
53,20200401,百度手机助手,80010082,PopStar!消灭星星2,5003053,0.00,电信,0,1,0,0.00%,0.00,0.00
54,20200401,百度手机助手,80010082,消灭星星中文版,5015173,0.00,电信,0,16,0,0.00%,0.00,0.00
55,20200401,百度手机助手,80010082,僵尸尖叫,5022331,61.00,电信,0,142,2,1.41%,0.43,30.50
56,20200401,百度手机助手,80010082,僵尸尖叫,5024281,0.00,电信,0,6,0,0.00%,0.00,0.00
57,20200401,百度手机助手,80010082,点我+1,5054861,0.00,电信,0,2,0,0.00%,0.00,0.00
58,20200401,百度手机助手,80010082,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
59,20200401,4399,80010088,消灭星星全新版,10000895,0.00,电信,0,54,0,0.00%,0.00,0.00
60,20200401,4399,80010088,消灭星星中文版,5013515,0.00,电信,0,1,0,0.00%,0.00,0.00
61,20200401,4399,80010088,僵尸尖叫,5022331,29.00,电信,0,109,1,0.92%,0.27,29.00
62,20200401,4399,80010088,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
63,20200401,掌游天下,80010130,消灭星星全新版,10000895,0.00,电信,0,309,0,0.00%,0.00,0.00
64,20200401,掌游天下,80010130,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
65,20200401,OPPO,80010141,消灭星星全新版,10000895,10.00,电信,0,21505,1,0.00%,0.00,10.00
66,20200401,OPPO,80010141,PopStar!消灭星星2,5003053,0.00,电信,0,2,0,0.00%,0.00,0.00
67,20200401,OPPO,80010141,消灭星星中文版,5013515,0.00,电信,0,8,0,0.00%,0.00,0.00
68,20200401,OPPO,80010141,消灭星星中文版,5015173,0.00,电信,0,405,0,0.00%,0.00,0.00
69,20200401,OPPO,80010141,僵尸尖叫,5022331,0.00,电信,0,3,0,0.00%,0.00,0.00
70,20200401,OPPO,80010141,点我+1,5054861,0.00,电信,0,1,0,0.00%,0.00,0.00
71,20200401,OPPO,80010141,哔哔弹,5097519,0.00,电信,0,4,0,0.00%,0.00,0.00
72,20200401,91手机助手（百度）,80010142,消灭星星中文版,5015173,0.00,电信,0,2,0,0.00%,0.00,0.00
73,20200401,成都当乐,80010160,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
74,20200401,柠檬助手,80010201,消灭星星全新版,10000895,0.00,电信,0,2,0,0.00%,0.00,0.00
75,20200401,柠檬助手,80010201,消灭星星中文版,5015173,0.00,电信,0,2,0,0.00%,0.00,0.00
76,20200401,腾讯QQ浏览器,80010226,消灭星星全新版,10000895,0.00,电信,0,34,0,0.00%,0.00,0.00
77,20200401,腾讯QQ浏览器,80010226,消灭星星中文版,5015173,0.00,电信,0,1,0,0.00%,0.00,0.00
78,20200401,金立游戏大厅,80010281,消灭星星全新版,10000895,10.00,电信,0,39,1,2.56%,0.26,10.00
79,20200401,卓易市场,80010366,消灭星星全新版,10000895,0.00,电信,0,10,0,0.00%,0.00,0.00
80,20200401,卓易市场,80010366,消灭星星中文版,5015173,0.00,电信,0,12,0,0.00%,0.00,0.00
81,20200401,2345手机助手,80010378,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
82,20200401,微米,80010466,消灭星星中文版,5015173,0.00,电信,0,1,0,0.00%,0.00,0.00
83,20200401,三星,80011042,消灭星星全新版,10000895,29.00,电信,0,173,1,0.58%,0.17,29.00
84,20200401,三星,80011042,消灭星星中文版,5015173,0.00,电信,0,19,0,0.00%,0.00,0.00
85,20200401,阿里巴巴·九游推广渠道,80011044,消灭星星全新版,10000895,0.00,电信,0,6,0,0.00%,0.00,0.00
86,20200401,阿里巴巴·九游推广渠道,80011044,哔哔弹,5097519,0.00,电信,0,2,0,0.00%,0.00,0.00
87,20200401,搜狗,80011045,消灭星星全新版,10000895,0.00,电信,0,152,0,0.00%,0.00,0.00
88,20200401,搜狗,80011045,消灭星星中文版,5015173,0.00,电信,0,4,0,0.00%,0.00,0.00
89,20200401,搜狗,80011045,僵尸尖叫,5022331,0.00,电信,0,4,0,0.00%,0.00,0.00
90,20200401,搜狗,80011045,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
91,20200401,360手机助手,80011046,消灭星星全新版,10000895,0.00,电信,0,571,0,0.00%,0.00,0.00
92,20200401,360手机助手,80011046,消灭星星中文版,5015173,0.00,电信,0,59,0,0.00%,0.00,0.00
93,20200401,360手机助手,80011046,消灭星星中文版,5015173,0.00,移动,0,6,0,0.00%,0.00,0.00
94,20200401,360手机助手,80011046,僵尸尖叫,5022331,0.00,电信,0,24,0,0.00%,0.00,0.00
95,20200401,腾讯应用宝,80011049,消灭星星全新版,10000895,0.00,电信,0,104,0,0.00%,0.00,0.00
96,20200401,腾讯应用宝,80011049,消灭星星中文版,5015173,0.00,电信,0,42,0,0.00%,0.00,0.00
97,20200401,腾讯应用宝,80011049,僵尸尖叫,5022331,0.00,电信,0,2,0,0.00%,0.00,0.00
98,20200401,腾讯应用宝,80011049,全民消灭星星,5032507,0.00,电信,0,2,0,0.00%,0.00,0.00
99,20200401,腾讯应用宝,80011049,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
100,20200401,金立,80011117,消灭星星全新版,10000895,0.00,电信,0,214,0,0.00%,0.00,0.00
101,20200401,腾讯华为内置游戏中心,80011148,消灭星星全新版,10000895,0.00,电信,0,3,0,0.00%,0.00,0.00
102,20200401,步步高,80020136,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
103,20200401,步步高,80020136,消灭星星中文版,5013515,0.00,电信,0,3,0,0.00%,0.00,0.00
104,20200401,步步高,80020136,点我+1,5054861,0.00,电信,0,1,0,0.00%,0.00,0.00
105,20200401,腾讯华为内置应用市场,80020230,消灭星星全新版,10000895,0.00,电信,0,2,0,0.00%,0.00,0.00
106,20200401,魅族手机,80020320,消灭星星全新版,10000895,0.00,电信,0,824,0,0.00%,0.00,0.00
107,20200401,魅族手机,80020320,僵尸尖叫,5022331,2.00,电信,0,123,1,0.81%,0.02,2.00
108,20200401,上海青橙,80020533,消灭星星全新版,10000895,0.00,电信,0,27,0,0.00%,0.00,0.00
109,20200401,华为智汇云,83010007,消灭星星全新版,10000895,20.00,电信,0,22820,1,0.00%,0.00,20.00
110,20200401,华为智汇云,83010007,消灭星星中文版,5015173,0.00,电信,0,2349,0,0.00%,0.00,0.00
111,20200401,华为智汇云,83010007,僵尸尖叫,5022331,141.00,电信,0,361,3,0.83%,0.39,47.00
112,20200401,OPPO,83010008,僵尸尖叫,5022331,0.00,电信,0,29,0,0.00%,0.00,0.00
113,20200401,小米,83010009,消灭星星中文版,5015173,0.00,电信,0,7,0,0.00%,0.00,0.00
114,20200401,步步高,83010010,消灭星星全新版,10000895,91.00,电信,0,31055,6,0.02%,0.00,15.17
115,20200401,步步高,83010010,消灭星星中文版,5015173,0.00,电信,0,23,0,0.00%,0.00,0.00
116,20200401,步步高,83010010,僵尸尖叫,5022331,9.00,电信,0,36,1,2.78%,0.25,9.00
117,20200401,步步高,83010010,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
118,20200401,腾讯应用宝,83010011,消灭星星全新版,10000895,45.00,电信,0,2548,3,0.12%,0.02,15.00
119,20200401,腾讯应用宝,83010011,僵尸尖叫,5022331,206.00,电信,0,594,5,0.84%,0.35,41.20
120,20200401,安智市场,83010014,僵尸尖叫,5022331,0.00,电信,0,13,0,0.00%,0.00,0.00
121,20200401,金立游戏大厅,83010020,消灭星星全新版,10000895,0.00,电信,0,55,0,0.00%,0.00,0.00
122,20200401,金立游戏大厅,83010020,僵尸尖叫,5022331,0.00,电信,0,1,0,0.00%,0.00,0.00
123,20200401,阿里巴巴·九游推广渠道,83010023,消灭星星全新版,10000895,6.00,电信,0,319,1,0.31%,0.02,6.00
124,20200401,阿里巴巴·九游推广渠道,83010023,僵尸尖叫,5022331,0.00,电信,0,45,0,0.00%,0.00,0.00
125,20200401,柠檬助手,83010029,消灭星星全新版,10000895,0.00,电信,0,18,0,0.00%,0.00,0.00
126,20200401,2345手机助手,83010042,消灭星星全新版,10000895,0.00,电信,0,375,0,0.00%,0.00,0.00
127,20200401,腾讯QQ浏览器,83010052,消灭星星全新版,10000895,0.00,电信,0,83,0,0.00%,0.00,0.00
128,20200401,腾讯QQ浏览器,83010052,僵尸尖叫,5022331,0.00,电信,0,17,0,0.00%,0.00,0.00
129,20200401,拇指玩,83010063,消灭星星全新版,10000895,0.00,电信,0,7,0,0.00%,0.00,0.00
130,20200401,中兴应用商店,83010103,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
131,20200401,nubia应用中心,83010107,消灭星星全新版,10000895,0.00,电信,0,55,0,0.00%,0.00,0.00
132,20200401,魅族游戏中心,83020058,消灭星星中文版,5015173,0.00,电信,0,3,0,0.00%,0.00,0.00
133,20200401,乐视应用商店,83020126,消灭星星全新版,10000895,0.00,电信,0,23,0,0.00%,0.00,0.00
134,20200401,腾讯手机管家,83120102,消灭星星全新版,10000895,0.00,电信,0,78,0,0.00%,0.00,0.00
135,20200401,腾讯手机管家,83120102,僵尸尖叫,5022331,0.00,电信,0,1,0,0.00%,0.00,0.00
136,20200401,爱游戏渠道,99999999,消灭星星全新版,10000895,0.00,电信,0,8,0,0.00%,0.00,0.00
137,20200402,聚沙渠道,,PopStar!消灭星星2,10001847,0.00,移动,0,2,0,0.00%,0.00,0.00
138,20200402,聚沙渠道,,消灭星星全新版,12912,0.00,电信,0,17,0,0.00%,0.00,0.00
139,20200402,聚沙渠道,,消灭星星全新版,12912,0.00,移动,0,10,0,0.00%,0.00,0.00
140,20200402,聚沙渠道,,消灭星星全新版,12912,0.00,联通,0,2,0,0.00%,0.00,0.00
141,20200402,聚沙渠道,,消灭星星中文版,5015173,0.00,电信,0,7,0,0.00%,0.00,0.00
142,20200402,聚沙渠道,,消灭星星中文版,5015173,0.00,移动,0,58,0,0.00%,0.00,0.00
143,20200402,聚沙渠道,,波鲁鲁冰雪大冒险,5015317,0.00,移动,0,1,0,0.00%,0.00,0.00
144,20200402,聚沙渠道,,僵尸尖叫,5022331,0.00,电信,0,2,0,0.00%,0.00,0.00
145,20200402,聚沙渠道,,僵尸尖叫,5022331,0.00,移动,0,2,0,0.00%,0.00,0.00
146,20200402,聚沙渠道,,哔哔弹,5097519,0.00,电信,0,2,0,0.00%,0.00,0.00
147,20200402,聚沙渠道,,哔哔弹,5097519,0.00,移动,0,7,0,0.00%,0.00,0.00
148,20200402,聚沙渠道,,哔哔弹,5097519,0.00,联通,0,1,0,0.00%,0.00,0.00
149,20200402,聚沙渠道,,哔哔弹,5097519,10.00,第三方,0,0,0,0.00%,0.00,0.00
150,20200402,聚沙渠道,,长腿爸爸,5102711,0.00,联通,0,1,0,0.00%,0.00,0.00
151,20200402,爱游戏客户端,10000000,消灭星星全新版,10000895,0.00,电信,0,11465,0,0.00%,0.00,0.00
152,20200402,爱游戏客户端,10000000,PopStar!消灭星星2,10001847,0.00,电信,0,2,0,0.00%,0.00,0.00
153,20200402,爱游戏客户端,10000000,消灭星星全新版,12912,0.00,电信,0,52,0,0.00%,0.00,0.00
154,20200402,爱游戏客户端,10000000,消灭星星全新版,12912,0.00,移动,0,81,0,0.00%,0.00,0.00
155,20200402,爱游戏客户端,10000000,消灭星星全新版,12912,0.00,联通,0,18,0,0.00%,0.00,0.00
156,20200402,爱游戏客户端,10000000,消灭星星中文版,5015173,0.00,电信,0,2,0,0.00%,0.00,0.00
157,20200402,爱游戏客户端,10000000,消灭星星中文版,5015173,0.00,移动,0,1,0,0.00%,0.00,0.00
158,20200402,爱游戏客户端,10000000,PopStar消灭星星2社交版,5024639,0.00,电信,0,1,0,0.00%,0.00,0.00
159,20200402,爱游戏客户端,10000000,点我+1,5054861,0.00,电信,0,1,0,0.00%,0.00,0.00
160,20200402,爱游戏客户端,10000000,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
161,20200402,爱游戏客户端,10000000,哔哔弹,5097519,0.00,移动,0,2,0,0.00%,0.00,0.00
162,20200402,爱游戏客户端,10000000,哔哔弹,5097519,0.00,联通,0,2,0,0.00%,0.00,0.00
163,20200402,华为智汇云,80001002,消灭星星全新版,10000895,10.00,电信,0,33,1,3.03%,0.30,10.00
164,20200402,华为智汇云,80001002,消灭星星中文版,5013515,0.00,电信,0,3,0,0.00%,0.00,0.00
165,20200402,华为智汇云,80001002,消灭星星中文版,5015173,0.00,电信,0,14,0,0.00%,0.00,0.00
166,20200402,安智市场,80001005,消灭星星全新版,10000895,51.00,电信,0,90,2,2.22%,0.57,25.50
167,20200402,豌豆荚,80001013,消灭星星全新版,10000895,0.00,电信,0,50,0,0.00%,0.00,0.00
168,20200402,豌豆荚,80001013,PopStar!消灭星星2,5003053,0.00,电信,0,1,0,0.00%,0.00,0.00
169,20200402,豌豆荚,80001013,僵尸尖叫,5022331,0.00,电信,0,12,0,0.00%,0.00,0.00
170,20200402,豌豆荚,80001013,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
171,20200402,搜狐应用中心,80001016,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
172,20200402,酷派应用商店,80001017,消灭星星全新版,10000895,40.00,电信,0,26,1,3.85%,1.54,40.00
173,20200402,悠悠村,80001018,消灭星星全新版,10000895,0.00,电信,0,2,0,0.00%,0.00,0.00
174,20200402,应用汇,80001020,消灭星星全新版,10000895,0.00,电信,0,20,0,0.00%,0.00,0.00
175,20200402,应用汇,80001020,僵尸尖叫,5022331,0.00,电信,0,1,0,0.00%,0.00,0.00
176,20200402,小米,80001021,消灭星星全新版,10000895,0.00,电信,0,6966,0,0.00%,0.00,0.00
177,20200402,小米,80001021,僵尸尖叫,5022331,0.00,电信,0,15,0,0.00%,0.00,0.00
178,20200402,联想应用商店,80001024,消灭星星全新版,10000895,0.00,电信,0,137,0,0.00%,0.00,0.00
179,20200402,联想应用商店,80001024,消灭星星中文版,5015173,0.00,电信,0,1,0,0.00%,0.00,0.00
180,20200402,联想应用商店,80001024,僵尸尖叫,5022331,0.00,电信,0,1,0,0.00%,0.00,0.00
181,20200402,聚乐,80001026,僵尸尖叫,5022331,0.00,电信,0,1,0,0.00%,0.00,0.00
182,20200402,拇指玩,80010079,点我+1,5054861,0.00,电信,0,3,0,0.00%,0.00,0.00
183,20200402,拇指玩,80010079,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
184,20200402,百度手机助手,80010082,PopStar！消灭星星（多酷版）,10001262,0.00,电信,0,1,0,0.00%,0.00,0.00
185,20200402,百度手机助手,80010082,PopStar!消灭星星2,5003053,0.00,电信,0,1,0,0.00%,0.00,0.00
186,20200402,百度手机助手,80010082,消灭星星中文版,5015173,0.00,电信,0,14,0,0.00%,0.00,0.00
187,20200402,百度手机助手,80010082,僵尸尖叫,5022331,120.00,电信,0,130,2,1.54%,0.92,60.00
188,20200402,百度手机助手,80010082,僵尸尖叫,5024281,0.00,电信,0,7,0,0.00%,0.00,0.00
189,20200402,百度手机助手,80010082,点我+1,5054861,0.00,电信,0,2,0,0.00%,0.00,0.00
190,20200402,4399,80010088,消灭星星全新版,10000895,0.00,电信,0,51,0,0.00%,0.00,0.00
191,20200402,4399,80010088,消灭星星中文版,5015173,0.00,电信,0,1,0,0.00%,0.00,0.00
192,20200402,4399,80010088,僵尸尖叫,5022331,0.00,电信,0,117,0,0.00%,0.00,0.00
193,20200402,4399,80010088,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
194,20200402,掌游天下,80010130,消灭星星全新版,10000895,0.00,电信,0,340,0,0.00%,0.00,0.00
195,20200402,掌游天下,80010130,消灭星星中文版,5013515,0.00,电信,0,1,0,0.00%,0.00,0.00
196,20200402,掌游天下,80010130,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
197,20200402,掌游天下,80010130,长腿爸爸,5102711,0.00,电信,0,1,0,0.00%,0.00,0.00
198,20200402,OPPO,80010141,消灭星星全新版,10000895,0.00,电信,0,22368,0,0.00%,0.00,0.00
199,20200402,OPPO,80010141,消灭星星中文版,5013515,0.00,电信,0,5,0,0.00%,0.00,0.00
200,20200402,OPPO,80010141,消灭星星中文版,5015173,0.00,电信,0,430,0,0.00%,0.00,0.00
201,20200402,OPPO,80010141,僵尸尖叫,5022331,0.00,电信,0,1,0,0.00%,0.00,0.00
202,20200402,OPPO,80010141,点我+1,5054861,0.00,电信,0,1,0,0.00%,0.00,0.00
203,20200402,OPPO,80010141,哔哔弹,5097519,0.00,电信,0,8,0,0.00%,0.00,0.00
204,20200402,91手机助手（百度）,80010142,消灭星星中文版,5015173,0.00,电信,0,4,0,0.00%,0.00,0.00
205,20200402,成都当乐,80010160,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
206,20200402,柠檬助手,80010201,消灭星星全新版,10000895,0.00,电信,0,2,0,0.00%,0.00,0.00
207,20200402,柠檬助手,80010201,消灭星星中文版,5015173,0.00,电信,0,1,0,0.00%,0.00,0.00
208,20200402,腾讯QQ浏览器,80010226,消灭星星全新版,10000895,0.00,电信,0,33,0,0.00%,0.00,0.00
209,20200402,腾讯QQ浏览器,80010226,消灭星星中文版,5015173,0.00,电信,0,1,0,0.00%,0.00,0.00
210,20200402,金立游戏大厅,80010281,消灭星星全新版,10000895,0.00,电信,0,45,0,0.00%,0.00,0.00
211,20200402,卓易市场,80010366,消灭星星全新版,10000895,0.00,电信,0,6,0,0.00%,0.00,0.00
212,20200402,卓易市场,80010366,消灭星星中文版,5015173,0.00,电信,0,12,0,0.00%,0.00,0.00
213,20200402,2345手机助手,80010378,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
214,20200402,微米,80010466,消灭星星中文版,5015173,0.00,电信,0,1,0,0.00%,0.00,0.00
215,20200402,三星,80011042,消灭星星全新版,10000895,0.00,电信,0,154,0,0.00%,0.00,0.00
216,20200402,三星,80011042,消灭星星中文版,5015173,0.00,电信,0,18,0,0.00%,0.00,0.00
217,20200402,阿里巴巴·九游推广渠道,80011044,消灭星星全新版,10000895,0.00,电信,0,2,0,0.00%,0.00,0.00
218,20200402,阿里巴巴·九游推广渠道,80011044,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
219,20200402,搜狗,80011045,消灭星星全新版,10000895,20.00,电信,0,147,1,0.68%,0.14,20.00
220,20200402,搜狗,80011045,消灭星星中文版,5015173,0.00,电信,0,5,0,0.00%,0.00,0.00
221,20200402,搜狗,80011045,僵尸尖叫,5022331,0.00,电信,0,10,0,0.00%,0.00,0.00
222,20200402,360手机助手,80011046,消灭星星全新版,10000895,0.00,电信,0,561,0,0.00%,0.00,0.00
223,20200402,360手机助手,80011046,PopStar!消灭星星2,5003053,0.00,电信,0,1,0,0.00%,0.00,0.00
224,20200402,360手机助手,80011046,消灭星星中文版,5015173,0.00,电信,0,58,0,0.00%,0.00,0.00
225,20200402,360手机助手,80011046,消灭星星中文版,5015173,0.00,移动,0,7,0,0.00%,0.00,0.00
226,20200402,360手机助手,80011046,消灭星星中文版,5015173,0.00,联通,0,1,0,0.00%,0.00,0.00
227,20200402,360手机助手,80011046,僵尸尖叫,5022331,0.00,电信,0,28,0,0.00%,0.00,0.00
228,20200402,360手机助手,80011046,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
229,20200402,腾讯应用宝,80011049,消灭星星全新版,10000895,24.00,电信,0,104,2,1.92%,0.23,12.00
230,20200402,腾讯应用宝,80011049,消灭星星中文版,5015173,0.00,电信,0,43,0,0.00%,0.00,0.00
231,20200402,腾讯应用宝,80011049,全民消灭星星,5032507,0.00,电信,0,2,0,0.00%,0.00,0.00
232,20200402,腾讯应用宝,80011049,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
233,20200402,金立,80011117,消灭星星全新版,10000895,0.00,电信,0,219,0,0.00%,0.00,0.00
234,20200402,腾讯华为内置游戏中心,80011148,消灭星星全新版,10000895,0.00,电信,0,4,0,0.00%,0.00,0.00
235,20200402,步步高,80020136,消灭星星全新版,10000895,0.00,电信,0,1,0,0.00%,0.00,0.00
236,20200402,步步高,80020136,消灭星星中文版,5013515,0.00,电信,0,2,0,0.00%,0.00,0.00
237,20200402,步步高,80020136,点我+1,5054861,0.00,电信,0,1,0,0.00%,0.00,0.00
238,20200402,腾讯华为内置应用市场,80020230,消灭星星全新版,10000895,0.00,电信,0,2,0,0.00%,0.00,0.00
239,20200402,魅族手机,80020320,消灭星星全新版,10000895,0.00,电信,0,839,0,0.00%,0.00,0.00
240,20200402,魅族手机,80020320,僵尸尖叫,5022331,38.00,电信,0,134,1,0.75%,0.28,38.00
241,20200402,上海青橙,80020533,消灭星星全新版,10000895,0.00,电信,0,24,0,0.00%,0.00,0.00
242,20200402,华为智汇云,83010007,消灭星星全新版,10000895,78.00,电信,0,23255,2,0.01%,0.00,39.00
243,20200402,华为智汇云,83010007,消灭星星中文版,5015173,0.00,电信,0,2411,0,0.00%,0.00,0.00
244,20200402,华为智汇云,83010007,僵尸尖叫,5022331,104.00,电信,0,360,4,1.11%,0.29,26.00
245,20200402,OPPO,83010008,僵尸尖叫,5022331,0.00,电信,0,23,0,0.00%,0.00,0.00
246,20200402,小米,83010009,消灭星星中文版,5015173,0.00,电信,0,7,0,0.00%,0.00,0.00
247,20200402,步步高,83010010,消灭星星全新版,10000895,60.00,电信,0,32199,4,0.01%,0.00,15.00
248,20200402,步步高,83010010,消灭星星中文版,5015173,0.00,电信,0,22,0,0.00%,0.00,0.00
249,20200402,步步高,83010010,僵尸尖叫,5022331,9.00,电信,0,25,1,4.00%,0.36,9.00
250,20200402,步步高,83010010,哔哔弹,5097519,0.00,电信,0,1,0,0.00%,0.00,0.00
